,Return (%),Volatility,Sharpe Ratio,AAPL_Weightage,META_Weightage,GOOG_Weightage,TSLA_Weightage,MSFT_Weightage,MU_Weightage,GFS_Weightage
8910,0.010098385662436059,0.0802169383779075,0.09472295772046974,0.027210066116577187,0.13191903378346373,0.03992325397646511,0.21415652277994732,0.25590271995483044,0.21577945776276494,0.11510894562595139
8911,0.027127405297135636,0.08998121723010384,0.2736949560724143,0.0006567336612121663,0.010148024367565858,0.13709482192004496,0.18817692345018228,0.2269558757040575,0.16603400093921683,0.2709336199577205
8912,0.004363512049329889,0.07624082114056138,0.024442444630734306,0.14881834957781703,0.1808409647026277,0.06934988138137228,0.1023693015527735,0.205887121943801,0.18132696162626796,0.11140741921534061
8913,0.019117294140372783,0.0916835312826737,0.1812462271892565,0.047500858637030414,0.1453316040470696,0.018730057604293304,0.24635167637799701,0.13701772502728796,0.16112534017217217,0.24394273813414957
8914,0.011706263896864234,0.07622493825539561,0.12077758418141538,0.14626724510864614,0.14804259717233678,0.12369723248507085,0.12282439756124452,0.2066403357022879,0.11764895464990863,0.13487923732050533
8915,0.014863402376420476,0.06941242200310643,0.17811512722992395,0.2529737823266595,0.046346419447799034,0.1859541670871821,0.12112966091721152,0.21260768889202875,0.10342699404076562,0.07756128728835344
8916,0.0027601314094831183,0.07444409829818022,0.003494318763069458,0.07406692063048122,0.3109153630281115,0.2560534753460592,0.027411732855228438,0.2543288536954742,0.012481579815907643,0.0647420746287376
8917,0.008742976307036677,0.07251926458535737,0.08608714308855826,0.1270719540808332,0.0993579479692567,0.18016583050231944,0.13030721512205085,0.20685168309802765,0.1833169111702921,0.07292845805722012
8918,0.00934629731661693,0.07524588402668397,0.09098567190982926,0.20055901502541368,0.2091628213121565,0.2331557493514782,0.003020566423072932,0.21031907592503618,0.016805274545760224,0.12697749741708236
8919,0.014481733222798422,0.08239806756127602,0.1454127939819475,0.11399436246317632,0.2528829011524285,0.11137951926293439,0.16385695411766968,0.19020304558921985,0.005231434073279458,0.1624517833412919
8920,-0.008125094137437682,0.08450975591690466,-0.1257262433450281,0.1957035363438412,0.2244235979485589,0.028617014801191092,0.020990619436954076,0.06707838295242723,0.3285077977553392,0.13467905076168846
8921,0.01681237787285844,0.08775722097568699,0.1630906005652078,0.14601853688931288,0.1312609143568354,0.24033054892486277,0.08729354579454204,0.023009097307485092,0.1272267356894381,0.24486062103752368
8922,0.028823351667774513,0.08934311345214432,0.29463212832709634,0.2944888798160421,0.01635727693548864,0.26086386250909954,0.021300547154980577,0.1064254396134144,0.0071779032762467835,0.29338609069472804
8923,0.025444267344321425,0.0915574395957594,0.2505997049024525,0.2226005536546293,0.11625776234289745,0.11887854071043864,0.20151611956983034,0.028234398714994422,0.0456825245811429,0.26683010042606714
8924,0.0007564438731525944,0.08191506741307762,-0.021284925739669835,0.05542906664901243,0.1990896434882227,0.06186472852386446,0.024150034899824643,0.24658787429567783,0.24703731108505655,0.16584134105834142
8925,0.010203177928937126,0.07820838586438991,0.09849554934293256,0.10803861190257388,0.12925333383302687,0.09543352980862264,0.17705216938527832,0.17644095201771073,0.19150419668189872,0.1222772063708888
8926,0.020099122621746665,0.08848408183376838,0.19889591728837122,0.26600390887181397,0.05169049231376432,0.010003166348899976,0.2151199785542684,0.03501256379321828,0.18279383102807364,0.23937605908996148
8927,0.027248332488512404,0.08107235706003102,0.3052622791044203,0.13243386212856864,0.014272760326733878,0.28860339866726625,0.0140685652954491,0.2943359340091559,0.017121890335591704,0.23916358923723458
8928,0.011489152944414995,0.0771991356752396,0.11644110864440833,0.17462760373535008,0.17125409882600576,0.16868704313704394,0.166741032330838,0.09637448264192373,0.10530200065482243,0.11701373867401613
8929,0.002411204543076571,0.07262843338423763,-0.0012225990949530834,0.1818702154663572,0.1701397271437312,0.15893826124698435,0.13716650112997567,0.1255268505566143,0.18725324610138783,0.039105198354949466
8930,-0.002008028077719975,0.07592443272418017,-0.05937519604653263,0.04713613667647308,0.24028961991286435,0.13529007246872748,0.11822227907131684,0.2080362120816666,0.2078338362004124,0.043191843588539405
8931,0.006371595509869401,0.07694665468903626,0.050315319431567765,0.04602566939006461,0.21087807036271367,0.20832389234851148,0.059712106278568385,0.22314082242412556,0.1272937774698091,0.12462566172620707
